province,division,year,population
Ontario,Northumberland,2001,77497
Manitoba,Division No.  9,2011,23489
New Brunswick,Kent,2011,30833
New Brunswick,Carleton,2001,27184
British Columbia,East Kootenay,2011,56685
Nunavut,Kitikmeot,2006,5361
Ontario,Sudbury,2006,21851
Nova Scotia,Digby,2011,18036
Alberta,Division No. 12,2001,58362
Ontario,Elgin,2011,87461
Saskatchewan,Division No.  8,2011,29962
Alberta,Division No.  6,2006,1160936
Quebec,Charlevoix-Est,2011,16240
Alberta,Division No.  6,2001,1021060
British Columbia,East Kootenay,2006,55485
Ontario,Simcoe,2001,377050
New Brunswick,Northumberland,2011,48355
Quebec,Asbestos,2001,14535
Quebec,La Tuque,2011,15130
Quebec,Abitibi,2011,24354
Quebec,Drummond,2001,87808
Quebec,La Haute-C�te-Nord,2001,12894
Quebec,Portneuf,2006,46507
British Columbia,Thompson-Nicola,2001,119222
New Brunswick,Restigouche,2011,32594
British Columbia,East Kootenay,2001,56291
Quebec,La Mitis,2001,19326
